,PointIndex,ViewId,FeatureIndex
45,45,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1496.5057373 , 1391.63330078]), array([1113.83996582, 1305.72094727])]"
46,46,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1555.45703125, 1381.74768066]), array([1928.56152344, 1239.99523926])]"
47,47,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1627.4954834 , 1050.21606445]), array([1195.75366211,  890.9151001 ])]"
48,48,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1627.4954834 , 1050.21606445]), array([1195.75366211,  890.9151001 ])]"
49,49,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1661.23828125,  952.33496094]), array([1840.10070801,  824.02746582])]"
50,50,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1674.64038086, 1326.60632324]), array([1705.56970215, 1196.99951172])]"
51,51,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1674.64038086, 1326.60632324]), array([1705.56970215, 1196.99951172])]"
52,52,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1727.07043457, 1394.12121582]), array([1376.57641602, 1287.64038086])]"
53,53,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1727.08190918, 1330.3536377 ]), array([1905.05773926, 1192.09655762])]"
54,54,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1750.32861328, 1333.43786621]), array([2068.20117188, 1186.89306641])]"
55,55,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1758.59973145, 1383.22412109]), array([1928.56152344, 1239.99523926])]"
56,56,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1888.28625488, 1325.26635742]), array([1705.56970215, 1196.99951172])]"
57,57,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1888.28625488, 1325.26635742]), array([1705.56970215, 1196.99951172])]"
58,58,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([1986.8996582 ,  572.79711914]), array([1972.78723145,  528.73309326])]"
59,59,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2031.38989258,  573.66412354]), array([2000.46362305,  540.25042725])]"
60,60,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2085.40625   ,  435.51202393]), array([2035.69787598,  436.28091431])]"
61,61,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2094.2890625 ,  422.57931519]), array([2041.53540039,  429.89590454])]"
62,62,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2119.46557617,  368.08480835]), array([2054.92114258,  389.74307251])]"
63,63,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2141.0793457 ,  358.55969238]), array([2066.83398438,  388.99697876])]"
64,64,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2153.98266602,  428.27890015]), array([2072.10180664,  448.7144165 ])]"
65,65,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2212.02124023,  719.59558105]), array([2099.99243164,  695.61474609])]"
66,66,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2226.36279297,  702.91821289]), array([2108.99682617,  683.90441895])]"
67,67,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2228.36230469,  544.06408691]), array([2111.28027344,  559.08929443])]"
68,68,"['view_e5f42324df04', 'view_3e4586ecadd8']","[array([2437.41308594,  821.91778564]), array([2208.96386719,  804.01159668])]"
69,70,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([  90.48674011, 1761.44116211]), array([  44.41535568, 1893.04528809])]"
70,72,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([424.46646118, 383.89129639]), array([ 70.52294922, 221.22802734])]"
71,74,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 425.46231079, 1582.52453613]), array([ 124.93158722, 1643.45495605])]"
72,76,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([477.53509521, 419.70547485]), array([142.70274353, 268.42724609])]"
73,78,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([483.51263428, 436.11727905]), array([148.2815094 , 288.51702881])]"
74,81,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([486.0397644 , 333.31616211]), array([150.17895508, 168.13656616])]"
75,83,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([492.48171997, 429.35412598]), array([158.20970154, 280.48553467])]"
76,85,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 536.2479248 , 1381.15771484]), array([ 218.6882019 , 1400.97814941])]"
77,87,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 540.88983154, 1777.20556641]), array([ 665.00445557, 1873.43078613])]"
78,89,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 575.01373291, 1714.78234863]), array([ 718.98413086, 1796.60632324])]"
